,point,Large_Std_TMY_PASSIVE,Large_Std_2070_PASSIVE,Large_Med_TMY_PASSIVE,Large_Med_2070_PASSIVE,Large_High_TMY_PASSIVE,Large_High_2070_PASSIVE
0,"[35.5, 0.5, 0.800000011920929]",18.37,22.46,16.77,21.12,15.6,17.6
1,"[35.5, 1.5, 0.800000011920929]",18.28,22.4,16.69,21.06,15.53,17.55
2,"[35.5, 2.5, 0.800000011920929]",18.26,22.39,16.66,21.04,15.51,17.54
3,"[35.5, 3.5, 0.800000011920929]",18.25,22.39,16.66,21.04,15.51,17.53
4,"[35.5, 4.5, 0.800000011920929]",18.25,22.38,16.66,21.04,15.51,17.54
5,"[35.5, 5.5, 0.800000011920929]",18.26,22.39,16.66,21.04,15.51,17.54
6,"[35.5, 6.5, 0.800000011920929]",18.27,22.4,16.67,21.05,15.52,17.54
7,"[35.5, 7.5, 0.800000011920929]",18.29,22.41,16.69,21.05,15.53,17.55
8,"[35.5, 8.5, 0.800000011920929]",18.32,22.43,16.7,21.07,15.54,17.56
9,"[35.5, 9.5, 0.800000011920929]",18.36,22.46,16.73,21.09,15.56,17.57
10,"[35.5, 10.5, 0.800000011920929]",18.42,22.5,16.77,21.13,15.6,17.58
11,"[35.5, 11.5, 0.800000011920929]",18.61,22.66,16.92,21.25,15.72,17.65
12,"[36.5, 0.5, 0.800000011920929]",18.28,22.4,16.69,21.06,15.54,17.55
13,"[36.5, 1.5, 0.800000011920929]",18.17,22.33,16.58,20.98,15.44,17.49
14,"[36.5, 2.5, 0.800000011920929]",18.13,22.31,16.55,20.95,15.42,17.47
15,"[36.5, 3.5, 0.800000011920929]",18.12,22.3,16.54,20.94,15.41,17.47
16,"[36.5, 4.5, 0.800000011920929]",18.13,22.3,16.55,20.94,15.41,17.47
17,"[36.5, 5.5, 0.800000011920929]",18.13,22.31,16.55,20.95,15.42,17.47
18,"[36.5, 6.5, 0.800000011920929]",18.16,22.32,16.56,20.96,15.43,17.48
19,"[36.5, 7.5, 0.800000011920929]",18.18,22.33,16.58,20.97,15.44,17.49
20,"[36.5, 8.5, 0.800000011920929]",18.22,22.36,16.61,20.99,15.46,17.5
21,"[36.5, 9.5, 0.800000011920929]",18.29,22.4,16.65,21.02,15.5,17.52
22,"[36.5, 10.5, 0.800000011920929]",18.39,22.48,16.72,21.08,15.55,17.55
23,"[36.5, 11.5, 0.800000011920929]",18.61,22.66,16.89,21.22,15.69,17.63
24,"[37.5, 0.5, 0.800000011920929]",18.26,22.39,16.67,21.04,15.51,17.54
25,"[37.5, 1.5, 0.800000011920929]",18.13,22.3,16.55,20.95,15.41,17.47
26,"[37.5, 2.5, 0.800000011920929]",18.09,22.28,16.51,20.92,15.39,17.45
27,"[37.5, 3.5, 0.800000011920929]",18.08,22.27,16.51,20.91,15.38,17.44
28,"[37.5, 4.5, 0.800000011920929]",18.09,22.28,16.5,20.91,15.38,17.45
29,"[37.5, 5.5, 0.800000011920929]",18.1,22.28,16.52,20.92,15.39,17.45
30,"[37.5, 6.5, 0.800000011920929]",18.12,22.3,16.54,20.93,15.4,17.46
31,"[37.5, 7.5, 0.800000011920929]",18.16,22.32,16.57,20.95,15.43,17.48
32,"[37.5, 8.5, 0.800000011920929]",18.23,22.35,16.61,20.98,15.46,17.5
33,"[37.5, 9.5, 0.800000011920929]",18.33,22.43,16.68,21.02,15.51,17.53
34,"[37.5, 10.5, 0.800000011920929]",18.57,22.6,16.79,21.09,15.59,17.58
35,"[37.5, 11.5, 0.800000011920929]",18.96,22.86,16.93,21.23,15.72,17.65
36,"[38.5, 0.5, 0.800000011920929]",18.25,22.38,16.66,21.04,15.51,17.53
37,"[38.5, 1.5, 0.800000011920929]",18.12,22.29,16.54,20.94,15.41,17.46
38,"[38.5, 2.5, 0.800000011920929]",18.08,22.27,16.51,20.91,15.37,17.44
39,"[38.5, 3.5, 0.800000011920929]",18.07,22.26,16.49,20.9,15.36,17.44
40,"[38.5, 4.5, 0.800000011920929]",18.08,22.27,16.5,20.9,15.37,17.44
41,"[38.5, 5.5, 0.800000011920929]",18.09,22.27,16.51,20.91,15.38,17.45
42,"[38.5, 6.5, 0.800000011920929]",18.12,22.29,16.53,20.93,15.4,17.46
43,"[38.5, 7.5, 0.800000011920929]",18.17,22.32,16.58,20.95,15.44,17.48
44,"[38.5, 8.5, 0.800000011920929]",18.26,22.37,16.64,20.99,15.48,17.52
45,"[38.5, 9.5, 0.800000011920929]",18.46,22.5,16.75,21.04,15.56,17.57
46,"[38.5, 10.5, 0.800000011920929]",18.9,22.79,17.0,21.14,15.71,17.65
47,"[38.5, 11.5, 0.800000011920929]",22.6,24.77,18.71,21.61,16.21,17.85
48,"[39.5, 0.5, 0.800000011920929]",18.25,22.38,16.66,21.03,15.51,17.53
49,"[39.5, 1.5, 0.800000011920929]",18.11,22.29,16.54,20.94,15.4,17.46
