,point,Medium_Std_TMY_PASSIVE,Medium_Std_2070_PASSIVE,Medium_Med_TMY_PASSIVE,Medium_Med_2070_PASSIVE,Medium_High_TMY_PASSIVE,Medium_High_2070_PASSIVE
0,"[15.5, 0.5, 0.800000011920929]",22.33,24.64,20.1,22.54,19.02,19.32
1,"[15.5, 1.5, 0.800000011920929]",22.23,24.58,20.01,22.48,18.94,19.24
2,"[15.5, 2.5, 0.800000011920929]",22.22,24.58,20.0,22.47,18.93,19.23
3,"[15.5, 3.5, 0.800000011920929]",22.27,24.61,20.02,22.49,18.94,19.25
4,"[15.5, 4.5, 0.800000011920929]",23.8,24.67,22.98,22.53,18.96,19.27
5,"[15.5, 5.5, 0.800000011920929]",24.17,24.79,23.04,22.77,23.72,22.88
6,"[16.5, 0.5, 0.800000011920929]",22.22,24.57,20.01,22.47,18.94,19.25
7,"[16.5, 1.5, 0.800000011920929]",22.08,24.48,19.89,22.39,18.84,19.15
8,"[16.5, 2.5, 0.800000011920929]",22.09,24.5,19.88,22.38,18.83,19.14
9,"[16.5, 3.5, 0.800000011920929]",22.21,24.56,19.92,22.42,18.85,19.17
10,"[16.5, 4.5, 0.800000011920929]",23.36,24.7,22.54,22.49,20.61,21.0
11,"[16.5, 5.5, 0.800000011920929]",23.77,25.93,22.57,22.63,20.62,19.64
12,"[17.5, 0.5, 0.800000011920929]",22.21,24.56,20.0,22.47,18.93,19.23
13,"[17.5, 1.5, 0.800000011920929]",22.07,24.48,19.87,22.38,18.82,19.13
14,"[17.5, 2.5, 0.800000011920929]",22.12,24.51,19.87,22.41,18.82,19.13
15,"[17.5, 3.5, 0.800000011920929]",23.1,24.62,19.95,22.44,18.87,19.18
16,"[17.5, 4.5, 0.800000011920929]",22.98,24.85,22.32,22.6,23.35,22.53
17,"[17.5, 5.5, 0.800000011920929]",26.58,29.38,22.92,24.12,20.78,19.88
18,"[18.5, 0.5, 0.800000011920929]",22.25,24.58,20.0,22.47,18.93,19.24
19,"[18.5, 1.5, 0.800000011920929]",22.11,24.54,19.87,22.39,18.82,19.14
20,"[18.5, 2.5, 0.800000011920929]",22.18,24.54,19.89,22.4,18.83,19.15
21,"[18.5, 3.5, 0.800000011920929]",23.02,24.68,22.22,22.49,20.6,21.03
22,"[18.5, 4.5, 0.800000011920929]",23.19,25.13,22.42,22.79,19.22,19.53
23,"[18.5, 5.5, 0.800000011920929]",27.64,29.37,23.86,25.89,23.84,23.0
24,"[19.5, 0.5, 0.800000011920929]",22.28,24.59,20.02,22.48,18.94,19.25
25,"[19.5, 1.5, 0.800000011920929]",22.16,24.51,19.9,22.4,19.13,19.82
26,"[19.5, 2.5, 0.800000011920929]",22.25,24.56,19.93,22.42,19.25,19.92
27,"[19.5, 3.5, 0.800000011920929]",23.06,24.73,22.24,22.54,23.71,22.89
28,"[19.5, 4.5, 0.800000011920929]",23.16,25.19,22.4,22.86,19.31,20.0
29,"[19.5, 5.5, 0.800000011920929]",27.2,30.43,23.97,25.89,20.02,20.32
30,"[20.5, 0.5, 0.800000011920929]",22.32,24.62,20.04,22.49,18.95,19.26
31,"[20.5, 1.5, 0.800000011920929]",22.21,24.54,19.93,22.42,19.18,19.85
32,"[20.5, 2.5, 0.800000011920929]",24.34,25.95,19.99,22.45,18.87,19.18
33,"[20.5, 3.5, 0.800000011920929]",24.65,25.79,22.42,22.58,19.36,19.86
34,"[20.5, 4.5, 0.800000011920929]",24.79,25.86,22.55,22.9,23.66,22.79
