,spatial-minus-zoneMean-mrt,Size,Design,Weather,Operation
0,-0.55,Small,Standard,TMY,PASSIVE
1,-0.62,Small,Standard,TMY,PASSIVE
2,-0.63,Small,Standard,TMY,PASSIVE
3,-0.63,Small,Standard,TMY,PASSIVE
4,-0.63,Small,Standard,TMY,PASSIVE
5,-0.55,Small,Standard,TMY,PASSIVE
6,-0.25,Small,Standard,TMY,PASSIVE
7,0.17,Small,Standard,TMY,PASSIVE
8,0.54,Small,Standard,TMY,PASSIVE
9,0.87,Small,Standard,TMY,PASSIVE
10,1.2,Small,Standard,TMY,PASSIVE
11,1.42,Small,Standard,TMY,PASSIVE
12,1.3,Small,Standard,TMY,PASSIVE
13,1.15,Small,Standard,TMY,PASSIVE
14,0.7,Small,Standard,TMY,PASSIVE
15,0.3,Small,Standard,TMY,PASSIVE
16,0.16,Small,Standard,TMY,PASSIVE
17,0.12,Small,Standard,TMY,PASSIVE
18,-0.32,Small,Standard,TMY,PASSIVE
19,-0.46,Small,Standard,TMY,PASSIVE
20,-0.45,Small,Standard,TMY,PASSIVE
21,-0.45,Small,Standard,TMY,PASSIVE
22,-0.46,Small,Standard,TMY,PASSIVE
23,-0.45,Small,Standard,TMY,PASSIVE
24,-0.48,Small,Standard,TMY,PASSIVE
25,-0.52,Small,Standard,TMY,PASSIVE
26,-0.52,Small,Standard,TMY,PASSIVE
27,-0.53,Small,Standard,TMY,PASSIVE
28,-0.55,Small,Standard,TMY,PASSIVE
29,-0.47,Small,Standard,TMY,PASSIVE
30,0.17,Small,Standard,TMY,PASSIVE
31,0.27,Small,Standard,TMY,PASSIVE
32,0.55,Small,Standard,TMY,PASSIVE
33,0.85,Small,Standard,TMY,PASSIVE
34,1.17,Small,Standard,TMY,PASSIVE
35,1.29,Small,Standard,TMY,PASSIVE
36,1.21,Small,Standard,TMY,PASSIVE
37,1.13,Small,Standard,TMY,PASSIVE
38,0.78,Small,Standard,TMY,PASSIVE
39,0.44,Small,Standard,TMY,PASSIVE
40,0.14,Small,Standard,TMY,PASSIVE
41,0.14,Small,Standard,TMY,PASSIVE
42,-0.15,Small,Standard,TMY,PASSIVE
43,-0.26,Small,Standard,TMY,PASSIVE
44,-0.24,Small,Standard,TMY,PASSIVE
45,-0.23,Small,Standard,TMY,PASSIVE
46,-0.24,Small,Standard,TMY,PASSIVE
47,-0.27,Small,Standard,TMY,PASSIVE
48,-0.3,Small,Standard,TMY,PASSIVE
49,-0.32,Small,Standard,TMY,PASSIVE
50,-0.34,Small,Standard,TMY,PASSIVE
51,-0.35,Small,Standard,TMY,PASSIVE
52,-0.36,Small,Standard,TMY,PASSIVE
53,-0.27,Small,Standard,TMY,PASSIVE
54,0.15,Small,Standard,TMY,PASSIVE
55,0.35,Small,Standard,TMY,PASSIVE
56,0.55,Small,Standard,TMY,PASSIVE
57,0.83,Small,Standard,TMY,PASSIVE
58,1.11,Small,Standard,TMY,PASSIVE
59,1.36,Small,Standard,TMY,PASSIVE
60,1.3,Small,Standard,TMY,PASSIVE
61,1.14,Small,Standard,TMY,PASSIVE
62,0.89,Small,Standard,TMY,PASSIVE
63,0.32,Small,Standard,TMY,PASSIVE
64,0.17,Small,Standard,TMY,PASSIVE
65,0.15,Small,Standard,TMY,PASSIVE
66,-0.16,Small,Standard,TMY,PASSIVE
67,-0.27,Small,Standard,TMY,PASSIVE
68,-0.24,Small,Standard,TMY,PASSIVE
69,-0.22,Small,Standard,TMY,PASSIVE
70,-0.23,Small,Standard,TMY,PASSIVE
71,-0.25,Small,Standard,TMY,PASSIVE
72,-0.28,Small,Standard,TMY,PASSIVE
73,-0.31,Small,Standard,TMY,PASSIVE
74,-0.33,Small,Standard,TMY,PASSIVE
75,-0.35,Small,Standard,TMY,PASSIVE
76,-0.35,Small,Standard,TMY,PASSIVE
77,-0.25,Small,Standard,TMY,PASSIVE
78,0.28,Small,Standard,TMY,PASSIVE
79,0.55,Small,Standard,TMY,PASSIVE
80,0.76,Small,Standard,TMY,PASSIVE
81,1.06,Small,Standard,TMY,PASSIVE
82,1.46,Small,Standard,TMY,PASSIVE
83,1.86,Small,Standard,TMY,PASSIVE
84,2.4,Small,Standard,TMY,PASSIVE
85,2.25,Small,Standard,TMY,PASSIVE
86,0.92,Small,Standard,TMY,PASSIVE
87,0.61,Small,Standard,TMY,PASSIVE
88,0.7,Small,Standard,TMY,PASSIVE
89,0.19,Small,Standard,TMY,PASSIVE
90,-0.31,Small,Standard,TMY,PASSIVE
91,-0.3,Small,Standard,TMY,PASSIVE
92,-0.28,Small,Standard,TMY,PASSIVE
93,-0.28,Small,Standard,TMY,PASSIVE
94,-0.28,Small,Standard,TMY,PASSIVE
95,-0.31,Small,Standard,TMY,PASSIVE
96,-0.35,Small,Standard,TMY,PASSIVE
97,-0.37,Small,Standard,TMY,PASSIVE
98,-0.39,Small,Standard,TMY,PASSIVE
99,-0.4,Small,Standard,TMY,PASSIVE
100,-0.4,Small,Standard,TMY,PASSIVE
101,-0.34,Small,Standard,TMY,PASSIVE
102,0.19,Small,Standard,TMY,PASSIVE
103,0.78,Small,Standard,TMY,PASSIVE
104,1.29,Small,Standard,TMY,PASSIVE
105,1.73,Small,Standard,TMY,PASSIVE
106,1.67,Small,Standard,TMY,PASSIVE
107,1.76,Small,Standard,TMY,PASSIVE
108,2.52,Small,Standard,TMY,PASSIVE
109,2.44,Small,Standard,TMY,PASSIVE
110,1.36,Small,Standard,TMY,PASSIVE
111,1.36,Small,Standard,TMY,PASSIVE
112,0.61,Small,Standard,TMY,PASSIVE
113,0.19,Small,Standard,TMY,PASSIVE
114,-0.19,Small,Standard,TMY,PASSIVE
115,-0.24,Small,Standard,TMY,PASSIVE
116,-0.22,Small,Standard,TMY,PASSIVE
117,-0.21,Small,Standard,TMY,PASSIVE
118,-0.23,Small,Standard,TMY,PASSIVE
119,-0.23,Small,Standard,TMY,PASSIVE
120,-0.26,Small,Standard,TMY,PASSIVE
121,-0.26,Small,Standard,TMY,PASSIVE
122,-0.32,Small,Standard,TMY,PASSIVE
123,-0.38,Small,Standard,TMY,PASSIVE
124,-0.39,Small,Standard,TMY,PASSIVE
125,-0.33,Small,Standard,TMY,PASSIVE
126,0.24,Small,Standard,TMY,PASSIVE
127,0.71,Small,Standard,TMY,PASSIVE
128,1.36,Small,Standard,TMY,PASSIVE
129,1.42,Small,Standard,TMY,PASSIVE
130,1.15,Small,Standard,TMY,PASSIVE
131,1.3,Small,Standard,TMY,PASSIVE
132,1.56,Small,Standard,TMY,PASSIVE
133,1.52,Small,Standard,TMY,PASSIVE
134,1.56,Small,Standard,TMY,PASSIVE
135,0.92,Small,Standard,TMY,PASSIVE
136,0.66,Small,Standard,TMY,PASSIVE
137,0.32,Small,Standard,TMY,PASSIVE
138,-0.22,Small,Standard,TMY,PASSIVE
139,-0.33,Small,Standard,TMY,PASSIVE
140,-0.33,Small,Standard,TMY,PASSIVE
141,-0.33,Small,Standard,TMY,PASSIVE
142,-0.34,Small,Standard,TMY,PASSIVE
143,-0.38,Small,Standard,TMY,PASSIVE
144,-0.42,Small,Standard,TMY,PASSIVE
145,-0.42,Small,Standard,TMY,PASSIVE
146,-0.42,Small,Standard,TMY,PASSIVE
147,-0.46,Small,Standard,TMY,PASSIVE
148,-0.49,Small,Standard,TMY,PASSIVE
149,-0.41,Small,Standard,TMY,PASSIVE
150,0.14,Small,Standard,TMY,PASSIVE
151,0.18,Small,Standard,TMY,PASSIVE
152,0.6,Small,Standard,TMY,PASSIVE
153,0.95,Small,Standard,TMY,PASSIVE
154,1.32,Small,Standard,TMY,PASSIVE
155,1.55,Small,Standard,TMY,PASSIVE
156,1.46,Small,Standard,TMY,PASSIVE
157,1.28,Small,Standard,TMY,PASSIVE
158,0.74,Small,Standard,TMY,PASSIVE
159,0.44,Small,Standard,TMY,PASSIVE
160,0.44,Small,Standard,TMY,PASSIVE
